id;item_grade;graded_by;graded_time;is_active;createdd_by;created_time;updated_by;updated_time
1;ModerateQuality;webbed actually;2025-03-24T19:13:53;false;sternly yawn;2025-03-24T18:04:17;clamor hmph;2025-03-25T09:36:56
2;GoodQuality;deform prudent;2025-03-24T22:05:44;true;outflank superficial;2025-03-24T15:37:40;easily as;2025-03-25T02:37:46
3;ModerateQuality;kindheartedly ceramics;2025-03-25T11:14:20;false;nab but;2025-03-25T00:19:22;than;2025-03-24T22:07:46
4;GoodQuality;near or bitter;2025-03-24T19:22:42;false;unless;2025-03-25T03:41:57;secrecy though;2025-03-25T05:34:33
5;ModerateQuality;under sympathetically meatloaf;2025-03-24T22:46:54;true;greatly consequently over;2025-03-24T16:49:04;defiantly;2025-03-24T23:57:24
6;RejectQuality;per ouch;2025-03-24T22:45:46;true;navigate next ack;2025-03-25T01:05:43;and;2025-03-25T10:49:32
7;RejectQuality;carefree likely perfectly;2025-03-24T17:33:41;false;barring frantically toward;2025-03-24T14:54:13;valiantly alongside denitrify;2025-03-25T07:09:49
8;BadQuality;pitiful accidentally;2025-03-25T01:04:02;false;candid;2025-03-24T19:52:42;if amongst yippee;2025-03-25T00:15:22
9;RejectQuality;zowie aboard unabashedly;2025-03-25T01:11:30;false;notwithstanding;2025-03-25T08:04:18;chime;2025-03-25T12:09:44
10;RejectQuality;and;2025-03-25T13:56:39;true;fellow jealously opposite;2025-03-25T05:57:40;breastplate drat;2025-03-25T03:00:05
