id;banner_tag;logo_path;image_path;heading;sub_heading;description;landing_link;landing_utm;pixel_link;start_time;end_time;is_active;createdd_by;created_time;updated_by;updated_time
1;eek;honesty;openly;ha slowly suffice;atop enrich;haunting scamper;as yuck;that;muffled;2025-03-25T05:52:57;2025-03-25T13:39:27;false;ick;2025-03-25T07:57:24;overreact;2025-03-25T09:17:15
2;once pish ick;orderly why;that before;ew ick yearningly;westernize;whoever pastel likely;what suburban;underneath put meh;hm impractical;2025-03-25T05:04:19;2025-03-24T18:51:05;false;ha complicated;2025-03-24T18:08:46;scarcely finding;2025-03-25T08:00:35
3;sick grubby;till what incandescence;archaeology;internalize writhing out;eggplant hm provided;rigid tray ah;acidly;athletic;feather truthfully urban;2025-03-25T07:14:55;2025-03-24T21:54:10;true;ack unexpectedly hmph;2025-03-24T19:35:40;hygienic;2025-03-25T10:08:44
4;shoot aw;why;pomelo lest;redact bah hm;pointless duh;please mutate amongst;going;extra-large scale;aboard except;2025-03-25T13:45:08;2025-03-25T13:05:08;false;across marvelous after;2025-03-25T03:39:19;versus fortunate where;2025-03-24T23:22:08
5;harmful;cemetery questionable;foretell consequently;developmental which though;allocation or inasmuch;considering nucleotidase;glittering;psst jumbo not;rectangular dearly since;2025-03-24T20:47:48;2025-03-25T08:23:05;false;yet;2025-03-25T13:45:21;but anenst;2025-03-25T13:52:54
6;hence regularly;entice present;enraged;regal fluffy;reward;democratize mushy;whether idolized another;surprisingly;whispered;2025-03-24T19:18:27;2025-03-24T21:48:20;true;onto lobotomise who;2025-03-24T20:41:31;quizzically inside;2025-03-25T06:42:35
7;curiously propound;airline;inasmuch council concrete;into broadly;wherever wherever zowie;gleaming yieldingly incidentally;drat;aside wordy drat;round;2025-03-24T15:53:04;2025-03-24T22:44:07;true;um helpfully;2025-03-25T02:39:45;meanwhile;2025-03-25T03:21:17
8;questioningly equate instead;stint pfft;buzzing instead celsius;circular velocity tabulate;throughout;near lest glaring;emergent scratch which;ha;even up hence;2025-03-25T13:27:31;2025-03-24T16:24:10;false;after vainly;2025-03-25T03:49:30;fashion;2025-03-25T01:20:40
9;yin excepting reflecting;commercial;vulgarise;meh;apropos hotfoot more;inside aboard quick;beautifully;enchanted aw grandiose;since requite malfunction;2025-03-25T12:50:15;2025-03-24T22:27:43;false;transcend brr towards;2025-03-25T02:35:48;forenenst as whether;2025-03-25T02:12:45
10;drat because;ouch sedately thongs;going;supposing colorize;after;char;gadzooks wilderness;unless;now croon costume;2025-03-24T22:27:25;2025-03-25T02:14:01;false;spellcheck bug;2025-03-24T23:48:21;lest;2025-03-24T22:55:32
