id;name;image_path;description;order_no;sku_id;is_active;createdd_by;created_time;updated_by;updated_time
1;tangible as;gah narrowcast;gee fen;15441;little;false;inquisitively boohoo;2025-03-25T10:11:07;meh consequently;2025-03-25T02:39:02
2;filter finally deploy;by bob;cop without ride;1712;too toothpick key;false;miskey;2025-03-24T21:31:50;cute;2025-03-25T00:04:49
3;eek mmm range;indeed;youthfully meaningfully;31892;yum impact;false;beneath foretell;2025-03-24T16:37:04;versus aha pish;2025-03-25T07:56:54
4;capitalise phew;hm degenerate;apud up since;1368;since masterpiece;false;diagram;2025-03-24T15:15:25;yet;2025-03-24T17:17:26
5;hence new;but whoever whoa;exhausted brr;17549;recovery circumference destock;true;notwithstanding;2025-03-25T03:53:48;on;2025-03-25T07:30:37
6;railway ugh hm;ugh;monumental;25024;when stormy;false;vacation bowler why;2025-03-24T21:40:02;energetically fondly slipper;2025-03-24T13:13:08
7;uh-huh onto after;round;hydrolyse;5526;who joshingly of;true;yahoo descent inveigle;2025-03-25T03:56:10;dime usefully;2025-03-25T06:03:57
8;past usefully;phew burdensome shady;geez appreciate;15283;beside once;true;instead;2025-03-24T16:58:53;yahoo upside-down;2025-03-24T12:18:24
9;since geez;bleach because mmm;since bah;164;banish in;true;colonialism consequently roughly;2025-03-25T07:16:00;certainly;2025-03-24T23:23:11
10;hmph authorized;next sturdy;until unit;21270;mockingly;false;uh-huh until when;2025-03-24T22:07:27;briskly;2025-03-25T09:41:35
