id;from_cpc;to_cc;p_code;article;description;uom;net_weight_grams;crate_size;indent_uom;indent_kg;is_active;createdd_by;created_time;updated_by;updated_time
1;drat husband;or husky brush;finally;attraction worth jellyfish;gee;vastly psst sans;11310.14;7494.44;17257.76;24530.91;false;pity wholly;2025-03-26T08:12:59;what inasmuch triumphantly;2025-03-26T14:17:13
2;enthusiastically scarcely SUV;off;against;shrilly;remark;yahoo unfortunately;31391.57;20740.88;97.42;1395.61;true;ack fork orange;2025-03-25T19:48:57;ick pendant jubilantly;2025-03-26T11:44:42
3;functional;er sun;sorrowful around;mom;give;insist hygienic magnificent;5450.82;1231.35;13517.44;27886.27;false;remark whereas smuggle;2025-03-25T23:21:53;which huzzah remand;2025-03-26T14:21:02
4;deploy apud;woot;what;psst;exaggerate toward although;fiercely;5020.31;28351.71;28039.92;8221.95;true;plumber;2025-03-26T16:36:30;likewise merit lazily;2025-03-25T20:10:21
5;woot whose instead;woot;fray towards over;fibre nun especially;gah beyond;questioningly phooey failing;11575.6;3062.14;2859.27;19515.43;false;lest;2025-03-26T15:19:45;uh-huh editor;2025-03-25T22:57:06
6;whether huzzah;doubtfully out furthermore;record;regarding regal ack;but searchingly;lighthearted;7082.88;13725.09;11162.25;29707.65;true;given;2025-03-26T12:48:12;recount;2025-03-26T02:42:34
7;duh back;boss;consequently eek provided;whine synthesise pfft;keel without though;larva phooey hmph;26799.89;4298.13;4808.57;2932;true;aw tromp super;2025-03-26T16:38:21;same annually across;2025-03-26T13:15:11
8;tidy;abaft;bah mushy officially;unto zowie;brightly quaintly whereas;trolley;17094.13;26580.64;3224.81;21698;false;political yum angelic;2025-03-26T01:23:56;till um proceed;2025-03-26T14:01:54
9;doorpost pish if;plus;pinstripe zen;roughly well;curly exhausted;unaccountably which;12736.51;11361.68;7429.33;2473.75;false;recompense defendant;2025-03-25T19:00:34;lazily;2025-03-26T14:54:42
10;instantly;off whup yuck;yum harangue;lightly aha molasses;likewise;woefully while;6306.2;6048.59;13106.36;23552.35;true;greatly happy;2025-03-26T04:08:51;ick lazy phew;2025-03-25T20:10:43
