id;session_id;language;is_logged_in;farmer_id;is_active;createdd_by;created_time;updated_by;updated_time
1;corny including ew;Panjabi;false;righteously that and;true;winged now;2025-03-24T10:56:36;larva;2025-03-24T02:26:19
2;including needily;English;false;hence brightly backbone;false;evenly clavicle hypothesize;2025-03-23T20:45:18;ack;2025-03-24T09:39:17
3;powerful worriedly if;Hindi;false;microblog and sightseeing;true;hence sans aha;2025-03-24T12:57:30;duffel across;2025-03-24T10:36:09
4;mature gosh;Kanada;false;furthermore fort little;true;quaintly;2025-03-24T17:13:21;ha beep gestate;2025-03-24T14:42:52
5;afore describe blah;Bengali;true;aboard;false;purple;2025-03-24T04:30:11;slather till humble;2025-03-24T00:39:28
6;whose;Hindi;true;underneath save pfft;false;spanish ironclad until;2025-03-24T14:15:05;familiar arid bid;2025-03-23T23:05:21
7;however atop condense;English;false;spork silver rapid;false;ouch;2025-03-24T04:45:43;queasily;2025-03-23T20:09:52
8;across politely ack;Tamil;false;however oh from;true;part absent;2025-03-24T02:29:03;so;2025-03-24T06:34:17
9;while plain;Kanada;false;sheepishly;true;summarise;2025-03-23T18:26:37;um how;2025-03-24T12:41:46
10;criminal;English;false;roadway;true;to beneath;2025-03-24T13:58:15;if;2025-03-24T12:55:23
